HeapFree [us];PrivateMemorySize [MB]
1.6;612
0.3;612
0.2;612
0.3;612
0.3;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.3;612
0.1;612
0.1;612
0.1;612
1.3;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0;612
0.2;612
0.4;612
1.5;612
0.4;612
0.2;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.2;612
0.1;612
0.1;612
0.1;612
0.2;612
0.1;612
0.2;612
0.2;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.1;612
0.2;612
0.2;612
0.4;612
0.3;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.3;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.1;612
0.1;612
0.2;612
0.1;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.2;612
0.2;612
0.2;612
0.2;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.2;612
0.4;612
0.3;612
0.2;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.2;612
0.1;612
0.3;612
0.1;612
0.1;612
0.2;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.2;612
0.2;612
0.1;612
0.1;612
0.2;612
0.2;612
0.2;612
0.4;612
0.2;612
0.2;612
0.1;612
0.1;612
0.1;612
0.2;612
0.3;612
0.2;612
0.2;612
0.2;612
0.1;612
0.1;612
